datevalue,timevalue,astonquay,bachelorswalk,capelstreet,collegegreendamestside,collegegreenchurchlane,collegegreenbankofireland,graftonstreet,liffeystreet,marystreet,oconnellstoutsidepennys,oconnellstparnellstaib,westmorelandstreeteast
2020-01-01,0000,1600,868,277,1797,1494,893,1516,1180,60,1662,821,1577
2020-01-01,0100,858,727,214,594,676,1091,1169,1133,33,1160,469,566
2020-01-01,0200,3499,930,219,429,523,1202,1097,898,51,1110,347,474
2020-01-01,0300,1804,561,176,365,520,1115,989,595,44,1095,373,410
2020-01-01,0400,2562,269,98,176,238,1140,708,219,25,666,209,120
2020-01-01,0500,883,103,55,45,83,1164,374,47,12,317,110,41
2020-01-01,0600,500,278,37,57,120,596,162,48,9,200,107,43
2020-01-01,0700,1342,419,18,54,104,377,113,26,9,191,73,44
2020-01-01,0800,1279,121,30,70,134,418,107,74,11,218,95,55
2020-01-01,0900,3300,191,45,157,188,481,266,110,17,311,179,107
2020-01-01,1000,3364,522,170,259,305,520,494,189,66,673,298,183
2020-01-01,1100,2833,477,182,574,611,639,1189,383,127,1112,420,357
2020-01-01,1200,4076,619,188,548,856,767,1877,720,228,1424,527,411
2020-01-01,1300,2995,851,240,677,996,806,2304,894,292,1767,620,489
2020-01-01,1400,3590,834,278,658,1108,897,2433,1016,332,2039,611,484
2020-01-01,1500,2591,979,291,672,1040,966,2437,1080,339,2116,756,512
2020-01-01,1600,4437,902,302,660,1069,968,2569,1228,329,2070,791,531
2020-01-01,1700,3578,927,324,557,1032,954,2129,928,332,1807,907,531
2020-01-01,1800,3674,1095,272,430,795,853,1323,800,203,1388,729,501
2020-01-01,1900,3657,939,217,404,737,826,960,718,134,962,609,402
2020-01-01,2000,3867,929,171,241,589,774,514,471,129,824,514,278
2020-01-01,2100,3208,1019,124,214,472,625,511,409,63,621,344,205
2020-01-01,2200,2570,646,102,194,351,734,373,354,58,561,276,177
2020-01-01,2300,3497,215,72,112,224,719,285,238,39,417,173,134
2020-01-02,0000,1610,89,48,68,76,455,182,131,23,196,105,69
2020-01-02,0100,1134,47,38,20,50,493,98,68,13,96,51,35
2020-01-02,0200,691,137,24,15,30,332,81,29,6,112,32,45
2020-01-02,0300,603,34,6,10,39,294,87,30,5,88,31,31
2020-01-02,0400,160,19,8,10,23,242,74,22,6,53,18,19
2020-01-02,0500,354,32,14,40,55,328,71,17,10,88,57,39
2020-01-02,0600,520,266,40,182,452,701,194,34,27,295,125,106
2020-01-02,0700,2431,521,56,528,453,744,513,196,57,543,229,213
2020-01-02,0800,4227,943,119,1123,835,908,1185,314,99,1101,419,422
2020-01-02,0900,2011,482,235,794,647,852,874,413,129,1198,532,411
2020-01-02,1000,3264,645,258,834,833,754,1473,722,204,1755,801,416
2020-01-02,1100,3599,851,237,1006,1247,827,2109,1088,284,2326,885,573
2020-01-02,1200,3097,786,378,1224,1563,894,2943,1626,358,3064,1102,606
2020-01-02,1300,2554,995,370,1274,1561,960,3324,1984,527,3346,1351,687
2020-01-02,1400,2958,706,395,1079,1494,955,2928,1917,564,3175,1298,634
2020-01-02,1500,3057,852,399,1139,1567,1056,3168,2197,440,3313,1308,698
2020-01-02,1600,2044,827,407,1265,1711,1294,3406,2441,588,3502,1468,875
2020-01-02,1700,3238,1318,498,1572,1745,1476,3114,2268,576,3468,1475,949
2020-01-02,1800,2613,822,415,1069,1347,1202,2479,1457,508,2703,1177,719
2020-01-02,1900,3749,701,355,606,1013,1034,1384,1637,280,1904,895,448
